Distance,Both,HpOnly
0.100995049,-2.61,
0.113578167,-2.6127,
0.129614814,-2.56905,
0.129614814,-2.68,
0.132287566,-2.6218,
0.134164079,-2.68,
0.136381817,-2.61855,
0.143178211,-2.7212,
0.145602198,-2.62,
0.158113883,-2.71725,
0.160934769,-2.6573,
0.166132477,-2.68,
0.172336879,-2.6247,
0.17691806,-2.6555,
0.180554701,-2.80275,
0.180554701,-2.67,
0.181107703,-2.72,
0.188944436,-2.7502,
0.192093727,-2.7124,
0.195192213,-2.6744,
0.197989899,-2.76,
0.197989899,-2.70765,
0.198242276,-2.6455,
0.199749844,-2.644,
0.206397674,-2.77,
0.209284495,-2.72,
0.211896201,-2.7222,
0.216564078,-2.8172,
0.220454077,-2.71,
0.226715681,-2.79,
0.230867928,-2.7851,
0.232808935,-2.74365,
0.238746728,-2.83,
0.243104916,-2.7882,
0.244948974,-2.7,
0.247991935,-2.8085,
0.247991935,-2.6907,
0.250399681,-2.8137,
0.253377189,-2.8,
0.254754784,-2.7901,
0.254950976,-2.72,
0.255147016,-2.8861,
0.256124969,-2.80665,
0.257875939,-2.7282,
0.264952826,-2.76,
0.271661554,-2.83,
0.273130006,-2.79675,
0.278028775,-2.7478,
0.278208555,-2.75,
0.286705424,-2.74,
0.296310648,-2.85,
0.304302481,-2.79,
0.3122499,-2.8447,
0.312729915,-2.91,
0.314006369,-2.81,
0.315119025,-2.7716,
0.31591138,-2.75,
0.31701735,-2.8838,
0.31701735,-2.8232,
0.319843712,-2.7698,
0.320468407,-2.7438,
0.320624391,-2.88,
0.322955105,-2.8433,
0.323882695,-2.7871,
0.325422802,-2.8479,
0.325422802,-2.7961,
0.327719392,-2.95,
0.330605505,-2.9686,
0.332565783,-2.83,
0.334215499,-2.889,
0.33763886,-2.92,
0.337934905,-2.85,
0.338673884,-2.9115,
0.342636834,-2.9,
0.343802269,-2.92,
0.344383507,-2.87595,
0.345108679,-2.9129,
0.345976878,-2.798,
0.349284984,-2.78685,
0.354259792,-2.854,
0.354400903,-2.84,
0.355246393,-2.93,
0.36,-2.82,
0.36138622,-2.77,
0.363455637,-2.866,
0.364554523,-2.8992,
0.368510515,-2.87,
0.369188299,-2.9542,
0.369594372,-2.85,
0.37013511,-2.97,
0.374833296,-2.8784,
0.374966665,-2.985,
0.375765885,-3.03,
0.377226722,-2.8305,
0.378153408,-2.98,
0.380263067,-2.97495,
0.382883794,-2.96,
0.384057287,-2.8321,
0.38704005,-2.86,
0.387685439,-2.9031,
0.387814389,-2.9,
0.390256326,-2.8637,
0.390384426,-2.80665,
0.394208067,-2.82,
0.396862697,-3.0303,
0.398246155,-2.83,
0.400249922,-3,
0.402740611,-3.06,
0.40484565,-2.8889,
0.409511905,-2.8496,
0.409511905,-3.061,
0.41,-3.0124,
0.410609303,-2.95,
0.410974452,-3.23335,
0.411582313,-2.91,
0.414487636,-3.09,
0.417851648,-2.88,
0.419285106,-3.05,
0.423202079,-2.9845,
0.429185275,-2.97,
0.432897216,-3.05,
0.432897216,-2.9,
0.43611925,-3.1,
0.437492857,-2.85,
0.43760713,-3.1222,
0.439203825,-3.12245,
0.440454311,-2.94,
0.4411349,-2.91,
0.443283205,-3.0903,
0.445645599,-2.99,
0.448776113,-3.07,
0.449110231,-2.9415,
0.453210768,-3.12,
0.458475735,-2.98,
0.458475735,-3.14,
0.458911756,-3.07,
0.459782557,-3.09,
0.462493243,-2.8663,
0.46400431,-2.8781,
0.468401537,-3.15,
0.469254728,-2.91,
0.471487009,-2.9218,
0.475499737,-2.9471,
0.477702836,-3.11,
0.481352262,-3.0018,
0.481871352,-3.09,
0.483735465,-2.97445,
0.488364618,-3.0614,
0.488876262,-2.91,
0.49010203,-3.245,
0.490509939,-2.9,
0.490815648,-3.0018,
0.492544414,-3.04,
0.492544414,-2.95,
0.496487663,-3.1584,
0.498998998,-2.99,
0.50049975,-3.2092,
0.502991054,-2.93,
0.504182507,-2.88,
0.505766745,-3.215,
0.510979452,-3.171,
0.512152321,-3.1664,
0.512640225,-2.86605,
0.513030214,-3.14,
0.513225097,-3.21,
0.514587213,-2.92,
0.514684369,-2.966,
0.524785671,-2.98,
0.528772163,-3.16,
0.531319113,-3.3087,
0.532353266,-3.07,
0.537866154,-3.1506,
0.544977064,-3.13,
0.551815186,-3.30585,
0.552720544,-3.1907,
0.555967625,-2.9212,
0.556506963,-3.2637,
0.558748602,-3.03,
0.559910707,-3.18885,
0.560981283,-3.0757,
0.565066368,-2.9692,
0.565862174,-3.32,
0.568858506,-2.96,
0.568946395,-3.0527,
0.573933794,-3.1,
0.57497826,-3.29225,
0.575673519,-3.415,
0.575760367,-2.9916,
0.576020833,-3.04585,
0.577754273,-3.24,
0.583523778,-3.29765,
0.583952053,-3.08,
0.589406481,-3.01,
0.59,-3.1855,
0.591523457,-3.1128,
0.595818764,-3.04,
0.595986577,-3.615,
0.596154342,-3.32,
0.596154342,-3.03,
0.596824932,-3.07,
0.598581657,-3.1038,
0.599332963,-3.04,
0.600333241,-3.38,
0.601082357,-3.1908,
0.601082357,-3.0956,
0.601165535,-3.07,
0.60456596,-3.5753,
0.605805249,-3.01,
0.608604962,-3,
0.61171889,-3.09,
0.612290781,-3.30285,
0.612780548,-3.093,
0.61367744,-3.24,
0.618465844,-3.0308,
0.628012739,-3.04,
0.629285309,-3.58,
0.62992063,-3.435,
0.633245608,-3.41,
0.637024332,-3.665,
0.640390506,-3.1106,
0.641560597,-3.1,
0.641950154,-3.0813,
0.64210591,-3.0919,
0.644049688,-3.02,
0.649230314,-3.1697,
0.650845604,-3.07335,
0.653834842,-3.29445,
0.655133574,-3.69,
0.661362231,-3.505,
0.661437828,-3.399,
0.662947962,-3.0365,
0.670745854,-3.2145,
0.675277721,-3.26,
0.677126281,-3.3609,
0.677200118,-3.7152,
0.677421582,-3.2583,
0.67808554,-3.585,
0.68212902,-3.0475,
0.683008053,-3.1536,
0.686585756,-3.23,
0.68745909,-3.4396,
0.688621812,-3.16,
0.702780193,-3.0571,
0.705832841,-3.38855,
0.706611633,-3.84295,
0.70668239,-3.15,
0.710352025,-3.31,
0.721872565,-3.1723,
0.723049099,-3.12,
0.725809892,-3.5203,
0.727048829,-3.21,
0.728217001,-3.1706,
0.732393337,-3.34,
0.733893725,-3.24,
0.737631344,-3.4293,
0.740945342,-3.8084,
0.746257328,-3.28365,
0.749132832,-3.39,
0.75199734,-4.1203,
0.75398939,-4.29525,
0.757495875,-3.4,
0.763871717,-3.3125,
0.767202711,-3.7,
0.769025357,-4.0712,
0.772075126,-3.1733,
0.772398861,-3.22695,
0.779422863,-3.818,
0.782432106,-4.58835,
0.784028061,-3.1928,
0.785811682,-3.79675,
0.792212093,-4.2214,
0.800562302,-3.1244,
0.803927857,-3.7086,
0.81351091,-3.14,
0.815904406,-3.56515,
0.816639455,-3.3188,
0.824984848,-3.15,
0.82631713,-3.22,
0.827647268,-5.29975,
0.831745153,-3.31,
0.840178552,-3.9675,
0.844452485,-4.1192,
0.845754101,-5.2239,
0.846817572,-3.4667,
0.847938677,-4.0828,
0.849411561,-3.4969,
0.852584307,-3.43365,
0.85662127,-4.1432,
0.857554663,-3.27,
0.875499857,-3.428,
0.879488488,-5.43145,
0.886735586,-3.1775,
0.907634288,-4.28985,
0.913345499,-3.8327,
0.918150314,-3.37,
0.92287594,-5.73585,
0.96405394,-3.32,
0.998498873,-3.24165,
1.026206607,-5.23045,
1.034504712,-4.9476,
